STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,4/15/1981,53.2,4,0,,999.9,,82.4, ,51.8, ,7,,0,G,9999.9,0,999.9,,874.4,4,72.1,4,17.1,4,2.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,4/27/1981,62.6,4,0,,999.9,,82.4,*,59, ,5.8,,0,G,9999.9,0,999.9,,873.5,4,72.9,4,18.6,4,3.6,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,4/28/1981,63,5,100000,,999.9,,82.4,*,62.6, ,8,,0,G,9999.9,0,999.9,,873.5,5,70.5,5,18,5,4.7,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,5/23/1981,52.2,4,0,,999.9,,75.2,*,53.6, ,11.8,,0,G,9999.9,0,999.9,,859.5,4,70.3,4,18.6,4,9.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,5/24/1981,51.2,6,0,,999.9,,77,*,51.8, ,8,,0,G,9999.9,0,999.9,,879,6,62,6,18.6,6,4.4,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,5/27/1981,53.3,6,0,,999.9,,78.8, ,51.8, ,5.8,,0,G,9999.9,0,999.9,,875.7,6,64.1,6,16.1,6,1,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,5/29/1981,56.3,4,0,,999.9,,82.4, ,64.4,*,4.9,,0,I,9999.9,0,999.9,,875,4,74.8,4,11.7,4,3.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/4/1981,48.2,4,0,,999.9,,80.6,*,46.4, ,5.8,,0,G,9999.9,0,999.9,,877.3,4,68,4,14.9,4,3.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/5/1981,44.6,5,0,,999.9,,82.4, ,46.4, ,7,,0,G,9999.9,0,999.9,,876.9,5,67.6,5,11.9,5,2.8,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/11/1981,42.5,6,0,,999.9,,73.4,*,42.8, ,8,,0,G,9999.9,0,999.9,,880.1,6,56.6,6,18.6,6,2.9,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/12/1981,39.7,4,0,,999.9,,75.2, ,46.4, ,8,,0,G,9999.9,0,999.9,,879.1,4,64.9,4,18.6,4,5.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/13/1981,41,4,0,,999.9,,73.4, ,41, ,8.9,,0,G,9999.9,0,999.9,,880.5,4,65.3,4,17.1,4,6.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/17/1981,37.4,5,0,,999.9,,73.4, ,44.6,*,16.9,,0,I,9999.9,0,999.9,,880.6,5,61.9,5,16.8,5,8.5,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/20/1981,41,4,100000,,999.9,,80.6, ,41, ,5.8,,0,G,9999.9,0,999.9,,877.2,4,67.6,4,13.7,4,2.9,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,6/21/1981,46,5,0,,999.9,,78.8, ,42.8, ,1.9,,0,G,9999.9,0,999.9,,876.7,5,60.4,5,10.1,5,0.8,5
